(；	1
； 	2
 ･	3
･`	4
`ω	5
ω･	6
･´	7
´)	8
)5	9
5日	10
日働	11
働い	12
いて	13
て2	14
2日	15
日休	16
休ん	17
んで	18
で5	19
で…	20
… 	21
 :	22
: 	23
 ワ	24
ワラ	25
ラノ	26
ノー	27
ート	28
ト 	29
10	30
0月	31
月1	32
17	33
7日	34
日の	35
の海	36
海外	37
外株	38
株式	39
式・	40
・債	41
債券	42
券・	43
・為	44
為替	45
替・	46
・商	47
商品	48
品市	49
市場	50
場 	51
 -	52
- 	53
 B	54
Bl	55
lo	56
oo	57
om	58
mb	59
be	60
er	61
rg	62
g 	63
12	64
20	65
00	66
0人	67
人ア	68
アン	69
ンケ	70
ケー	71
トで	72
で「	73
「韓	74
韓国	75
国が	76
が嫌	77
嫌い	78
い」	79
」は	80
は8	81
87	82
7％	83
％ 	84
 |	85
| 	86
 ス	87
スク	88
クー	89
ープ	90
プ速	91
速報	92
報 	93
 週	94
週刊	95
刊文	96
文春	97
春W	98
WE	99
EB	100
B 	101
01	102
16	103
6年	104
年ま	105
まで	106
でタ	107
タッ	108
ック	109
クス	110
スヘ	111
ヘイ	112
イヴ	113
ヴン	114
ンへ	115
への	116
の逆	117
逆風	118
風は	119
は続	120
続く	121
く［	122
［橘	123
橘玲	124
玲の	125
の世	126
世界	127
界投	128
投資	129
資見	130
見聞	131
聞録	132
録］	133
］｜	134
｜橘	135
録 	136
 橘	137
玲×	138
×Z	139
ZA	140
Ai	141
i 	142
 O	143
ON	144
NL	145
LI	146
IN	147
NE	148
E海	149
外投	150
資の	151
の歩	152
歩き	153
き方	154
方 	155
 ザ	156
ザイ	157
イオ	158
オン	159
ンラ	160
ライ	161
イン	162
ン 	163
84	164
49	165
9億	166
億円	167
円を	168
を丸	169
丸儲	170
儲け	171
け…	172
…2	173
08	174
8年	175
年に	176
にネ	177
ネッ	178
ット	179
トサ	180
サー	181
ービ	182
ビス	183
スを	184
を8	185
85	186
50	187
0億	188
円で	189
で売	190
売却	191
却し	192
した	193
た夫	194
夫婦	195
婦、	196
、2	197
13	198
3年	199
にた	200
たっ	201
った	202
た1	203
1億	204
で買	205
買い	206
い戻	207
戻す	208
す 	209
 ら	210
らば	211
ばQ	212
Q 	213
 G	214
Gu	215
un	216
no	217
os	218
sy	219
y 	220
CN	221
NN	222
N.	223
.c	224
co	225
o.	226
.j	227
jp	228
p 	229
 ツ	230
ツイ	231
イッ	232
ッタ	233
ター	234
ー、	235
、Ｎ	236
ＮＹ	237
Ｙ証	238
証取	239
取に	240
に上	241
上場	242
場へ	243
へ 	244
FR	245
RB	246
B新	247
新議	248
議長	249
長：	250
：ハ	251
ハト	252
ト派	253
派の	254
の隆	255
隆盛	256
盛：	257
：J	258
JB	259
Bp	260
pr	261
re	262
es	263
ss	264
s(	265
(日	266
日本	267
本ビ	268
ビジ	269
ジネ	270
ネス	271
スプ	272
プレ	273
レス	274
ス)	275
) 	276
M 	277
 K	278
K 	279
 4	280
48	281
8 	282
 マ	283
マン	284
ンキ	285
キュ	286
ュー	287
、「	288
「消	289
消費	290
費税	291
税　	292
　Ｖ	293
ＶＳ	294
Ｓ　	295
　所	296
所得	297
得税	298
税」	299
」 	300
Th	301
he	302
eo	303
or	304
ry	305
 a	306
as	307
s 	308
a 	309
Be	310
en	311
nc	312
ch	313
hm	314
ma	315
ar	316
rk	317
k 	318
Xデ	319
デー	320
ーは	321
は1	322
日…	323
…世	324
界が	325
が注	326
注視	327
視す	328
する	329
るア	330
アメ	331
メリ	332
リカ	333
カの	334
のデ	335
デフ	336
